MS_SubClass,Bldg_Type,Overall_Cond,Lot_Frontage,Lot_Area,Street,UTM_x,UTM_y,School_District,Year_Built,Year_Remod_Add,Roof_Style,Gr_Liv_Area,Total_Bsmt_SF,Bsmt_Unf_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Garage_Type,Garage_Area,Year_Sold,Mo_Sold,YM_Sold,Sale_Condition,Sale_Price
One_Story_1946_and_Newer_All_Styles,OneFam,Average,141,31770,Pave,448716.789070619,4655961.484687827,Meeker Elementary School,1960,1960,Hip,1656,1080,441,1,0,1,0,3,Attchd,528,2010,5,2010-05-01,Normal,215000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,80,11622,Pave,448715.8021937948,4655848.123671591,Meeker Elementary School,1961,1961,Gable,896,882,270,0,0,1,0,2,Attchd,730,2010,6,2010-06-01,Normal,105000
One_Story_1946_and_Newer_All_Styles,OneFam,Above_Average,81,14267,Pave,448746.02646068815,4655808.486829054,Meeker Elementary School,1958,1958,Hip,1329,1329,406,0,0,1,1,3,Attchd,312,2010,6,2010-06-01,Normal,172000
One_Story_1946_and_Newer_All_Styles,OneFam,Average,93,11160,Pave,448915.9621058934,4655650.252973643,Meeker Elementary School,1968,1968,Hip,2110,2110,1045,1,0,2,1,3,Attchd,522,2010,4,2010-04-01,Normal,244000
Two_Story_1946_and_Newer,OneFam,Average,74,13830,Pave,447135.4576871502,4656735.276367377,Fellows Elementary School,1997,1998,Gable,1629,928,137,0,0,2,1,3,Attchd,482,2010,3,2010-03-01,Normal,189900
Two_Story_1946_and_Newer,OneFam,Above_Average,78,9978,Pave,447136.0200615188,4656721.947731558,Fellows Elementary School,1998,1998,Gable,1604,926,324,0,0,2,1,3,Attchd,470,2010,6,2010-06-01,Normal,195500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,41,4920,Pave,447562.53030838317,4656962.944272465,Fellows Elementary School,2001,2001,Gable,1338,1338,722,1,0,2,0,2,Attchd,582,2010,4,2010-04-01,Normal,213500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,43,5005,Pave,447557.8657762846,4656713.145901112,Fellows Elementary School,1992,1992,Gable,1280,1280,1017,0,0,2,0,2,Attchd,506,2010,1,2010-01-01,Normal,191500
One_Story_PUD_1946_and_Newer,TwnhsE,Average,39,5389,Pave,447638.77598186815,4656756.073159371,Fellows Elementary School,1995,1996,Gable,1616,1595,415,1,0,2,0,2,Attchd,608,2010,3,2010-03-01,Normal,236500
Two_Story_1946_and_Newer,OneFam,Average,60,7500,Pave,447122.872497509,4656545.94137988,Fellows Elementary School,1999,1999,Gable,1804,994,994,0,0,2,1,3,Attchd,442,2010,6,2010-06-01,Normal,189000
Two_Story_1946_and_Newer,OneFam,Average,75,10000,Pave,447297.7773499368,4656465.467319726,Fellows Elementary School,1993,1994,Gable,1655,763,763,0,0,2,1,3,Attchd,440,2010,4,2010-04-01,Normal,175900
