variable,description
name,Name of the country
slug,Unique country identifier on CIA factbook website
region,Region of the world where the country is located
airports,Number of airports
broadband_fixed_subscriptions,Number of broadband subscriptions
internet_users,Number of internet users
merchant_marine,Number of merchant marine vessels
railways,"Length of railway network, in km"
roadways,"Length of road network, in km"
telephone_fixed_line,Number of subscriptions for fixed line telephones
telephone_moblie_cellular,Number of subscriptions for mobile/cellular network
waterways,"Length of river network, in km"
