name,slug,region,airports,broadband_fixed_subscriptions,internet_users,merchant_marine,railways,roadways,telephones_fixed_lines,telephones_mobile_cellular,waterways
United States,united-states,North America,15873,121176000,312800000,3533,293564.2,6586610,91623000,372682000,41009
Brazil,brazil,South America,4919,36344670,170100000,888,29849.9,2000000,27258000,212926000,50000
Australia,australia,Australia and Oceania,2180,9099619,24960000,604,32606.0,873573,6409000,28018000,2000
Mexico,mexico,North America,1485,21936131,98800000,674,23389.0,704884,27185000,127872000,2900
Canada,canada,North America,1425,15825813,35340000,716,49422.0,1042300,11312000,35082000,636
United Kingdom,united-kingdom,Europe,1043,27330297,64990000,868,16390.0,416461,29798000,81564000,3200
Russia,russia,Central Asia,904,33893305,132000000,2910,85494.0,1283387,23864000,245267000,102000
Germany,germany,Europe,838,36215303,75530000,595,39379.0,830000,38580000,104400000,7300
Argentina,argentina,South America,756,9571562,39150000,201,17866.0,240000,7615000,60236000,11000
France,france,Europe,689,30627000,55900000,553,27860.0,1090059,37740000,76807000,
Colombia,colombia,South America,662,7764772,37960000,153,2141.0,206102,7588000,80812000,24725
Italy,italy,Europe,636,18128787,44250000,1276,18475.0,228863,19982000,78503000,2400
South Africa,south-africa,Africa,575,1303057,42480000,110,30400.0,750000,1310000,100260000,
Papua New Guinea,papua-new-guinea,East and Southeast Asia,535,21000,3168000,205,,24862,166000,4818000,11000
China,china,East and Southeast Asia,531,483549500,1022000000,8314,150000.0,5200000,179414000,1781000000,27700
Indonesia,indonesia,East and Southeast Asia,513,11722218,167400000,11422,8159.0,496607,8424000,316553000,21579
Venezuela,venezuela,South America,502,2561556,22734162,272,447.0,96189,3147000,17949000,7100
Chile,chile,South America,374,3763826,17100000,249,7281.5,77801,2217000,26415000,
Kenya,kenya,Africa,370,674191,15370000,26,3819.0,161451,63000,65737000,
Spain,spain,Europe,363,16188502,44180000,503,15489.0,150110,18687000,59020000,1000
India,india,South Asia,311,22950000,644000000,1859,65554.0,6371847,27450000,1143000000,14500
Ecuador,ecuador,South America,310,2371297,13680000,154,965.0,43950,1644000,17491000,1500
Poland,poland,Europe,288,8369218,32300000,152,19461.0,427580,5277000,52589000,3997
Japan,japan,East and Southeast Asia,279,44000791,99600000,5229,27311.0,1218772,60721000,207648000,1770
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa,272,31000,21102720,24,4007.0,152373,0,49844000,15000
Namibia,namibia,Africa,255,71063,1325000,15,2628.0,48875,86000,2906000,
Philippines,philippines,East and Southeast Asia,246,7936574,58300000,2203,77.0,216387,4885000,166454000,3219
Czechia,czechia,Europe,243,3845426,9130000,,9548.0,129418,1214000,13475000,664
Tanzania,tanzania,Africa,206,1135608,20480000,381,4097.0,145203,85000,60192000,1594
Sweden,sweden,Europe,203,4179574,8800000,361,10910.0,197964,1261000,13194000,2052
New Zealand,new-zealand,Australia and Oceania,202,1764984,4896000,117,4128.0,94000,757000,5947000,
Bolivia,bolivia,South America,200,931918,7920000,50,3960.0,90568,550000,12034000,10000
Iran,iran,Middle East,173,9564195,69520000,965,8483.5,223485,29342000,145668000,850
Peru,peru,South America,166,3044000,24140000,111,1854.4,70000,1798000,41549000,8808
Ukraine,ukraine,Europe,148,7769401,34596356,410,21733.0,169694,1739000,49304000,1672
Norway,norway,Europe,145,2387661,5346000,1720,3848.0,95120,140000,6015000,1577
Zimbabwe,zimbabwe,Africa,144,203461,5600000,,3427.0,97267,291000,14301000,223
Kazakhstan,kazakhstan,Central Asia,132,2620400,17290000,122,16636.0,96167,2888000,25299000,43983
Portugal,portugal,Europe,130,4160795,8200000,888,2526.0,11217,5437000,12792000,210
Honduras,honduras,Central America and the Caribbean,129,396916,4800000,489,699.0,14742,414000,7937000,465
Costa Rica,costa-rica,Central America and the Caribbean,129,992725,4316000,11,278.0,5035,492000,7876000,730
Cuba,cuba,Central America and the Caribbean,123,231654,7810000,65,8367.0,60000,1574000,7600000,240
Botswana,botswana,Africa,122,259525,1924000,,888.0,31747,92000,4348000,
Zambia,zambia,Africa,119,82317,3990000,2,3126.0,67671,96000,19838000,2250
Pakistan,pakistan,South Asia,116,2523027,48300000,60,11881.0,264175,2799000,192780000,
Turkey (Turkiye),turkey-turkiye,Middle East,115,16734853,68850000,1170,11497.0,68526,11198000,90298000,1200
Slovakia,slovakia,Europe,114,1701561,4806000,,3627.0,45106,541000,7445000,172
Bulgaria,bulgaria,Europe,111,2115053,5175000,78,4029.0,19117,691000,7964000,470
Hungary,hungary,Europe,109,3382136,8633000,1,7687.0,216443,2845000,10372000,1622
Thailand,thailand,East and Southeast Asia,108,11478265,61200000,884,4127.0,180053,4368000,126414000,4000
Angola,angola,Africa,106,230610,11550000,64,2761.0,76000,94000,23978000,1300
Malaysia,malaysia,East and Southeast Asia,102,3358800,32980000,1750,1851.0,144403,8453000,47952000,7200
Ireland,ireland,Europe,100,1516473,4750000,94,1688.0,102227,1498000,5690000,956
Denmark,denmark,Europe,99,2590282,5841000,715,2682.0,73591,712000,7444000,400
Finland,finland,Europe,98,1846000,5115000,282,5918.0,108637,186000,7130000,8000
Mozambique,mozambique,Africa,92,70000,5440000,36,4787.0,30562,29000,13871000,460
Madagascar,madagascar,Africa,91,32000,5800000,29,836.0,31640,26000,20783000,600
"Korea, South",korea-south,East and Southeast Asia,89,22327182,50960000,2149,3979.0,100428,22810000,76992000,1600
Saudi Arabia,saudi-arabia,Middle East,86,7890261,36000000,433,5410.0,221372,6773000,48198000,
Algeria,algeria,Africa,85,3790459,31240000,119,4020.0,112696,5576000,49019000,
"Korea, North",korea-north,East and Southeast Asia,83,,,264,7435.0,25554,1180000,6000000,2250
Paraguay,paraguay,South America,83,562369,5159000,108,30.0,78811,169000,8659000,3100
Iceland,iceland,Europe,83,141816,370000,39,,12905,93000,457000,
South Sudan,south-sudan,Africa,82,200,869000,,248.0,90200,,3276000,
Romania,romania,Europe,82,5684782,15960000,127,10628.0,85387,2222000,23219000,1731
Greece,greece,Europe,81,4257026,7800000,1215,2345.0,117000,4907000,11326000,6
Panama,panama,Central America and the Caribbean,76,562413,2992000,8174,77.0,,811000,6891000,800
Uzbekistan,uzbekistan,Central Asia,74,4820009,26180000,,4642.0,225500,5686000,35690000,1100
Egypt,egypt,Africa,73,9349469,79200000,441,5085.0,65050,11600000,103450000,3500
Burma,burma,East and Southeast Asia,73,688185,23760000,101,5031.0,157000,535000,57807000,12800
Iraq,iraq,Middle East,71,6254099,21560000,74,2272.0,58592,2392000,43688000,5279
