name,slug,region,carbon_dioxide_emissions,electricity_installed_generating_capacity,energy_consumption_per_capita,revenue_from_coal,revenue_from_forest_resources
China,china,East and Southeast Asia,13506000000,2594000000,122004000,0.57,0.08
United States,united-states,North America,4941000000,1201000000,284575000,0.2,0.04
India,india,South Asia,2805000000,487407000,24793000,1.15,0.14
Russia,russia,Central Asia,1840000000,301123000,225235000,0.53,0.29
Japan,japan,East and Southeast Asia,1049000000,349940000,136122000,0,0.02
Iran,iran,Middle East,750453000,80740000,152479000,0.01,0.01
Indonesia,indonesia,East and Southeast Asia,684926000,69706000,33039000,1.06,0.39
Germany,germany,Europe,668292000,261086000,132263000,0.02,0.03
"Korea, South",korea-south,East and Southeast Asia,643456000,146539000,235518000,0,0.01
Saudi Arabia,saudi-arabia,Middle East,638449000,80110000,313903000,0,0
Canada,canada,North America,572820000,158973000,315581000,0.08,0.08
Brazil,brazil,South America,516752000,220319000,50037000,0.01,0.62
South Africa,south-africa,Africa,476987000,63411000,95511000,2.4,NA
Mexico,mexico,North America,453600000,104318000,59319000,0.03,0.1
Australia,australia,Australia and Oceania,415177000,101350000,236653000,0.78,0.13
Turkey (Turkiye),turkey-turkiye,Middle East,391592000,103817000,70594000,0.05,0.08
United Kingdom,united-kingdom,Europe,353407000,111020000,99499000,0,0.01
Italy,italy,Europe,316578000,123327000,98458000,0,0.01
France,france,Europe,311904000,148914000,121928000,0,0.03
Thailand,thailand,East and Southeast Asia,307934000,57216000,69958000,0.03,0.34
Taiwan,taiwan,East and Southeast Asia,306035000,61944000,208336000,NA,NA
Vietnam,vietnam,East and Southeast Asia,297826000,85040000,39117000,0.35,1.49
Poland,poland,Europe,293356000,58719000,106196000,0.27,0.17
United Arab Emirates,united-arab-emirates,Middle East,268041000,39915000,496365000,0,0
Spain,spain,Europe,266476000,118141000,105979000,0,0.02
Kazakhstan,kazakhstan,Central Asia,265460000,26033000,176085000,0.99,0
Malaysia,malaysia,East and Southeast Asia,262458000,36301000,116494000,0.02,1.57
Singapore,singapore,East and Southeast Asia,241710000,12538000,653844000,0,0
Egypt,egypt,Africa,240225000,59248000,36463000,NA,0.15
Pakistan,pakistan,South Asia,213498000,43478000,14902000,0.06,0.1
Netherlands,netherlands,Europe,186092000,57194000,186890000,0,0.01
Argentina,argentina,South America,185370000,46820000,75735000,0,0.09
Iraq,iraq,Middle East,156892000,31339000,57702000,0,0
Algeria,algeria,Africa,147930000,21706000,58473000,0,0.1
Philippines,philippines,East and Southeast Asia,136273000,27542000,15558000,0.07,0.18
Qatar,qatar,Middle East,122122000,11414000,767202000,0,0
Nigeria,nigeria,Africa,118699000,11697000,8564000,0,1.02
Belgium,belgium,Europe,116271000,26310000,205444000,0,0.02
Uzbekistan,uzbekistan,Central Asia,103219000,16926000,53528000,0.06,0
Turkmenistan,turkmenistan,Central Asia,101442000,5202000,282657000,0,0
Kuwait,kuwait,Middle East,100596000,20250000,402030000,0,0
Bangladesh,bangladesh,South Asia,99570000,22449000,9678000,0.02,0.08
