name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
Cook Islands,cook-islands,Australia and Oceania,12.97,12.1,,9.4,4.6,15.1,77.6,,41.1,-25.1,55.9,7761,-2.24,24.0,2.02
Latvia,latvia,Europe,12.9,8.3,21.1,14.7,6.0,4.7,76.4,18,45.5,-4.9,23.6,1801246,-1.14,37.0,1.55
Czechia,czechia,Europe,12.73,9.8,,12.0,5.1,2.6,78.6,3,44.2,2.7,26.0,10837890,0.04,30.7,1.73
Lithuania,lithuania,Europe,11.93,8.9,2.5,15.2,4.0,3.6,76.1,9,45.1,-4.1,26.3,2628186,-1.05,32.0,1.62
Austria,austria,Europe,11.9,9.3,,9.9,5.1,3.2,82.7,5,44.9,3.5,20.1,8967982,0.3,26.4,1.52
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean,11.88,14.9,,5.7,3.8,13.6,78.3,21,33.9,2.0,18.9,102634,1.11,,1.93
Estonia,estonia,Europe,11.65,8.2,0.4,13.2,6.6,3.3,78.4,5,45.0,-2.7,21.2,1193791,-0.76,29.7,1.62
France,france,Europe,11.44,10.9,,10.0,5.5,3.1,82.6,8,42.6,1.1,21.6,68374591,0.2,33.4,1.9
Bulgaria,bulgaria,Europe,11.18,7.9,1.9,14.2,4.0,7.7,76.1,7,45.1,-0.3,25.0,6782659,-0.66,39.0,1.51
Slovenia,slovenia,Europe,11.05,8.0,,10.5,5.8,1.5,82.2,5,46.3,1.5,20.2,2097893,-0.1,22.0,1.6
Luxembourg,luxembourg,Europe,11.0,11.6,,7.1,5.0,3.2,83.4,6,39.9,10.8,22.6,671254,1.52,21.1,1.63
Andorra,andorra,Europe,10.99,6.9,,8.1,2.9,3.3,83.8,,48.8,0.0,25.6,85370,-0.12,31.8,1.47
Poland,poland,Europe,10.96,8.4,,12.2,5.2,4.9,76.7,2,42.9,-6.2,23.1,38746310,-1.0,24.0,1.32
